Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
20MICRONS.NS,20 Microns Limited
GPTINFRA.NS,GPT Infraprojects Limited
GRANULES.NS,Granules India Limited
GRAPHITE.NS,Graphite India Limited
GRASIM.NS,Grasim Industries Limited
GRAUWEIL.NS,Grauer & Weil (India) Limited
GRAVITA.NS,Gravita India Limited
GREAVESCOT.NS,Greaves Cotton Limited
GREENLAM.NS,Greenlam Industries Limited
GREENPANEL.NS,Greenpanel Industries Limited
GREENPLY.NS,Greenply Industries Limited
GREENPOWER.NS,Orient Green Power Company Limited
GRINDWELL.NS,Grindwell Norton Limited
GRINFRA.NS,G R Infraprojects Limited
GROBTEA.NS,The Grob Tea Company Limited
GRPLTD.NS,GRP Limited
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited
GSCLCEMENT.NS,Gujarat Sidhee Cement Limited
GSFC.NS,Gujarat State Fertilizers & Chemicals Limited
GSPL.NS,Gujarat State Petronet Limited
GSS.NS,GSS Infotech Limited
GTL.NS,GTL Limited
GTLINFRA.NS,GTL Infrastructure Limited
GTNTEX.NS,GTN Textiles Limited
GTPL.NS,GTPL Hathway Limited
GUFICBIO.NS,Gufic Biosciences Limited
GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO.NS,Gujarat Apollo Industries Limited
GUJGASLTD.NS,Gujarat Gas Limited
GUJRAFFIA.NS,Gujarat Raffia Industries Limited
GULFOILLUB.NS,Gulf Oil Lubricants India Limited
GULFPETRO.NS,GP Petroleums Limited
GULPOLY.NS,Gulshan Polyols Limited
GVKPIL.NS,GVK Power & Infrastructure Limited
HAL.NS,Hindustan Aeronautics Limited
HAPPSTMNDS.NS,Happiest Minds Technologies Limited
HARITASEAT.NS,Harita Seating Systems Limited
HARRMALAYA.NS,Harrisons Malayalam Limited
HATHWAY.NS,Hathway Cable and Datacom Limited
HATSUN.NS,Hatsun Agro Product Limited
HAVELLS.NS,Havells India Limited
HAVISHA.NS,Sri Havisha Hospitality and Infrastructure Limited
HBLPOWER.NS,HBL Power Systems Limited
HBSL.NS,HB Stockholdings Limited
HCC.NS,Hindustan Construction Company Limited
HCG.NS,HealthCare Global Enterprises Limited
HCL-INSYS.NS,HCL Infosystems Limited
HCLTECH.NS,HCL Technologies Limited
HDFC.NS,Housing Development Finance Corporation Limited
HDFCAMC.NS,HDFC Asset Management Company Limited
HDFCBANK.NS,HDFC Bank Limited
HDFCLIFE.NS,HDFC Life Insurance Company Limited
HDIL.NS,Housing Development and Infrastructure Limited
HEG.NS,HEG Limited
HEIDELBERG.NS,HeidelbergCement India Limited
HEMIPROP.NS,Hemisphere Properties India Limited
HERANBA.NS,Heranba Industries Limited
HERCULES.NS,Hercules Hoists Limited
HERITGFOOD.NS,Heritage Foods Limited
HEROMOTOCO.NS,Hero MotoCorp Limited
HESTERBIO.NS,Hester Biosciences Limited
HEXATRADEX.NS,Hexa Tradex Limited
HFCL.NS,HFCL Limited
HGINFRA.NS,H.G. Infra Engineering Limited
HGS.NS,Hinduja Global Solutions Limited
HIKAL.NS,Hikal Limited
HIL.NS,HIL Limited
HILTON.NS,Hilton Metal Forging Limited
HIMATSEIDE.NS,Himatsingka Seide Limited
HINDALCO.NS,Hindalco Industries Limited
HINDCOMPOS.NS,Hindustan Composites Limited
HINDCON.NS,Hindcon Chemicals Limited
HINDCOPPER.NS,Hindustan Copper Limited
HINDMOTORS.NS,Hindustan Motors Limited
HINDNATGLS.NS,Hindusthan National Glass & Industries Limited
HINDOILEXP.NS,Hindustan Oil Exploration Company Limited
HINDPETRO.NS,Hindustan Petroleum Corporation Limited
HINDUNILVR.NS,Hindustan Unilever Limited
HINDZINC.NS,Hindustan Zinc Limited
HIRECT.NS,Hind Rectifiers Limited
HISARMETAL.NS,Hisar Metal Industries Limited
HITECH.NS,Hi-Tech Pipes Limited
HITECHCORP.NS,Hitech Corporation Limited
HITECHGEAR.NS,The Hi-Tech Gears Limited
HLEGLAS.NS,HLE Glascoat Limited
HLVLTD.NS,HLV Limited
HMT.NS,HMT Limited
HMVL.NS,Hindustan Media Ventures Limited
HNDFDS.NS,Hindustan Foods Limited
HOMEFIRST.NS,Home First Finance Company India Limited
HONAUT.NS,Honeywell Automation India Limited
HONDAPOWER.NS,Honda India Power Products Limited
HOTELRUGBY.NS,Hotel Rugby Limited
HOVS.NS,HOV Services Limited
HPAL.NS,HP Adhesives Limited
HPL.NS,HPL Electric & Power Limited
HSCL.NS,Himadri Speciality Chemical Limited
HSIL.NS,HSIL Limited
HTMEDIA.NS,HT Media Limited
HUBTOWN.NS,Hubtown Limited
HUDCO.NS,Housing and Urban Development Corporation Limited
HUHTAMAKI.NS,Huhtamaki India Limited
IBREALEST.NS,Indiabulls Real Estate Limited
IBULHSGFIN.NS,Indiabulls Housing Finance Limited
ICDSLTD.NS,ICDS Limited
ICEMAKE.NS,Ice Make Refrigeration Limited
ICICI500.NS,ICICI Prudential S&P BSE 500 ETF
ICICIALPLV.NS,ICICI Prudential Mutual Fund - ICICI Prudential Alpha Low Vol 30 ETF
ICICIB22.NS,ICICI Prudential Mutual Fund - Bharat 22 ETF
ICICIBANK.NS,ICICI Bank Limited
ICICIFMCG.NS,
ICICIGI.NS,ICICI Lombard General Insurance Company Limited
ICICILIQ.NS,ICICI Prudential Mutual Fund - ICICI Prudential Liquid ETF
ICICILOVOL.NS,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Low Vol 30 iWIN ETF
ICICIM150.NS,ICICI Prudential Amc Ltd. - ICICI Prudential Mutual Fund ICICI Prudential Midcap 150 ETF
ICICIMCAP.NS,ICICI Prudential Mutual Fund - ICICI Prudential Midcap Select ETF
ICICINF100.NS,ICICI Prudential Mutual Fund - ICICI Prudential Nifty 100 ETF
ICICINV20.NS,ICICI Prudential Mutual Fund - ICICI Prudential Fixed Maturity Plan - Series 79 - 1126 Days Plan C
ICICINXT50.NS,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Next 50 ETF
ICICIPHARM.NS,ICICI Prudential AMC Ltd. - ICICI Prudential Mutual Fund - ICICI Prudential Healthcare ETF
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited
ICICISENSX.NS,ICICI Prudential Mutual Fund - ICICI Prudential Sensex ETF
ICICITECH.NS,ICICI Prudential Mutual Fund - ICICI Prudential IT ETF
ICIL.NS,Indo Count Industries Limited
ICRA.NS,ICRA Limited
IDBI.NS,IDBI Bank Limited
IDEA.NS,Vodafone Idea Limited
IDFC.NS,IDFC Limited
IDFCFIRSTB.NS,IDFC First Bank Limited
IEX.NS,Indian Energy Exchange Limited
IFBAGRO.NS,IFB Agro Industries Limited
IFBIND.NS,IFB Industries Limited
IFCI.NS,IFCI Limited
IFGLEXPOR.NS,IFGL Refractories Limited
IGARASHI.NS,Igarashi Motors India Limited
IGL.NS,Indraprastha Gas Limited
IGPL.NS,I G Petrochemicals Limited
IIFL.NS,IIFL Finance Limited
IIFLSEC.NS,IIFL Securities Limited
IIFLWAM.NS,IIFL Wealth Management Limited
IITL.NS,Industrial Investment Trust Limited
IL&FSENGG.NS,IL&FS Engineering and Construction Company Limited
IL&FSTRANS.NS,IL&FS Transportation Networks Limited
IMAGICAA.NS,Imagicaaworld Entertainment Limited
IMFA.NS,Indian Metals and Ferro Alloys Limited
IMPAL.NS,India Motor Parts & Accessories Limited
IMPEXFERRO.NS,Impex Ferro Tech Limited
INCREDIBLE.NS,Incredible Industries Limited
INDBANK.NS,Indbank Merchant Banking Services Limited
INDHOTEL.NS,The Indian Hotels Company Limited
INDIACEM.NS,The India Cements Limited
INDIAGLYCO.NS,India Glycols Limited
INDIAMART.NS,IndiaMART InterMESH Limited
INDIANB.NS,Indian Bank
INDIANCARD.NS,The Indian Card Clothing Company Limited
INDIANHUME.NS,The Indian Hume Pipe Company Limited
INDIGO.NS,InterGlobe Aviation Limited
INDIGOPNTS.NS,Indigo Paints Limited
INDLMETER.NS,IMP Powers Limited
INDNIPPON.NS,India Nippon Electricals Limited
INDOCO.NS,Indoco Remedies Limited
INDORAMA.NS,Indo Rama Synthetics (India) Limited
INDOSOLAR.NS,Indosolar Limited
INDOSTAR.NS,IndoStar Capital Finance Limited
INDOTECH.NS,Indo Tech Transformers Limited
INDOTHAI.NS,Indo Thai Securities Limited
INDOWIND.NS,Indowind Energy Limited
INDRAMEDCO.NS,Indraprastha Medical Corporation Limited
INDSWFTLAB.NS,Ind-Swift Laboratories Limited
INDSWFTLTD.NS,Ind-Swift Limited
INDTERRAIN.NS,Indian Terrain Fashions Limited
INDUSINDBK.NS,IndusInd Bank Limited
INDUSTOWER.NS,Indus Towers Limited
INEOSSTYRO.NS,INEOS Styrolution India Limited
INFIBEAM.NS,Infibeam Avenues Limited
INFOBEAN.NS,InfoBeans Technologies Limited
INFOMEDIA.NS,Infomedia Press Limited
INFY.NS,Infosys Limited
INGERRAND.NS,Ingersoll-Rand (India) Limited
INOXLEISUR.NS,INOX Leisure Limited
INOXWIND.NS,Inox Wind Limited
INSECTICID.NS,Insecticides (India) Limited
INSPIRISYS.NS,Inspirisys Solutions Limited
INTEGRA.NS,Integra Garments and Textiles Limited
INTELLECT.NS,Intellect Design Arena Limited
INTENTECH.NS,Intense Technologies Limited
INTLCONV.NS,
INVENTURE.NS,Inventure Growth & Securities Limited
IOB.NS,Indian Overseas Bank
IOC.NS,Indian Oil Corporation Limited
IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited
IPCALAB.NS,Ipca Laboratories Limited
IPL.NS,India Pesticides Limited
IRB.NS,IRB Infrastructure Developers Limited
IRCON.NS,Ircon International Limited
IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited
IRFC.NS,Indian Railway Finance Corporation Limited
IRISDOREME.NS,Iris Clothings Limited
ISEC.NS,ICICI Securities Limited
ISFT.NS,IntraSoft Technologies Limited
ISGEC.NS,Isgec Heavy Engineering Limited
ISMTLTD.NS,ISMT Limited
ITC.NS,ITC Limited
ITDC.NS,India Tourism Development Corporation Limited
ITDCEM.NS,ITD Cementation India Limited
ITI.NS,ITI Limited
IVC.NS,IL&FS Investment Managers Limited
IVP.NS,IVP Limited
IWEL.NS,Inox Wind Energy Limited
IZMO.NS,IZMO Limited
J&KBANK.NS,The Jammu and Kashmir Bank Limited
JAGRAN.NS,Jagran Prakashan Limited
JAGSNPHARM.NS,Jagsonpal Pharmaceuticals Limited
JAIBALAJI.NS,Jai Balaji Industries Limited
JAICORPLTD.NS,Jai Corp Limited
JAINSTUDIO.NS,Jain Studios Limited
JAIPURKURT.NS,Nandani Creation Limited
JAMNAAUTO.NS,Jamna Auto Industries Limited
JASH.NS,Jash Engineering Limited
JAYAGROGN.NS,Jayant Agro-Organics Limited
JAYBARMARU.NS,Jay Bharat Maruti Limited
JAYNECOIND.NS,Jayaswal Neco Industries Limited
JAYSREETEA.NS,Jay Shree Tea & Industries Limited
JBCHEPHARM.NS,J. B. Chemicals & Pharmaceuticals Limited
JBFIND.NS,JBF Industries Limited
JBMA.NS,JBM Auto Limited
JCHAC.NS,Johnson Controls-Hitachi Air Conditioning India Limited
JETAIRWAYS.NS,Jet Airways (India) Limited
JHS.NS,JHS Svendgaard Laboratories Limited
JIKIND.NS,JIK Industries Limited
JINDALPHOT.NS,Jindal Photo Limited
JINDALPOLY.NS,Jindal Poly Films Limited
JINDALSAW.NS,Jindal Saw Limited
JINDALSTEL.NS,Jindal Steel & Power Limited
JINDCOT.NS,Jindal Cotex Limited
JINDRILL.NS,Jindal Drilling & Industries Limited
JINDWORLD.NS,Jindal Worldwide Limited
JISLDVREQS.NS,Jain Irrigation Systems Limited
JISLJALEQS.NS,Jain Irrigation Systems Limited
JITFINFRA.NS,JITF Infralogistics Limited
JIYAECO.NS,Jiya Eco-Products Limited
JKCEMENT.NS,J.K. Cement Limited
JKIL.NS,J. Kumar Infraprojects Limited
JKLAKSHMI.NS,JK Lakshmi Cement Limited
JKPAPER.NS,JK Paper Ltd
JKTYRE.NS,JK Tyre & Industries Limited
JMA.NS,Jullundur Motor Agency (Delhi) Limited
JMCPROJECT.NS,JMC Projects (India) Limited
JMFINANCIL.NS,JM Financial Limited
JMTAUTOLTD.NS,JMT Auto Limited
JOCIL.NS,Jocil Limited
JPASSOCIAT.NS,Jaiprakash Associates Limited
JPINFRATEC.NS,Jaypee Infratech Limited
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited
JPPOWER.NS,Jaiprakash Power Ventures Limited
JSL.NS,Jindal Stainless Limited
JSLHISAR.NS,Jindal Stainless (Hisar) Limited
JSWENERGY.NS,JSW Energy Limited
JSWHL.NS,JSW Holdings Limited
JSWISPL.NS,JSW Ispat Special Products Limited
JSWSTEEL.NS,JSW Steel Limited
JTEKTINDIA.NS,JTEKT India Limited
JUBLFOOD.NS,Jubilant FoodWorks Limited
JUBLINDS.NS,Jubilant Industries Limited
JUBLINGREA.NS,Jubilant Ingrevia Limited
JUBLPHARMA.NS,Jubilant Pharmova Limited
JUMPNET.NS,WinPro Industries Limited
JUSTDIAL.NS,Just Dial Limited
JYOTHYLAB.NS,Jyothy Labs Limited
JYOTISTRUC.NS,Jyoti Structures Limited
KABRAEXTRU.NS,Kabra Extrusiontechnik Limited
KAJARIACER.NS,Kajaria Ceramics Limited
KAKATCEM.NS,Kakatiya Cement Sugar and Industries Limited
KALPATPOWR.NS,Kalpataru Power Transmission Limited
KALYANIFRG.NS,Kalyani Forge Limited
KALYANKJIL.NS,Kalyan Jewellers India Limited
KAMATHOTEL.NS,Kamat Hotels (India) Limited
KAMDHENU.NS,Kamdhenu Limited
KANANIIND.NS,Kanani Industries Limited
KANORICHEM.NS,Kanoria Chemicals & Industries Limited
KANPRPLA.NS,Kanpur Plastipack Limited
KANSAINER.NS,Kansai Nerolac Paints Limited
KAPSTON.NS,Kapston Facilities Management Limited
KARDA.NS,KBC Global Limited
KARMAENG.NS,Karma Energy Limited
KARURVYSYA.NS,The Karur Vysya Bank Limited
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited
KAVVERITEL.NS,Kavveri Telecom Products Limited
KAYA.NS,Kaya Limited
KCP.NS,The KCP Limited
KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited
KDDL.NS,KDDL Limited
KEC.NS,KEC International Limited
KECL.NS,Kirloskar Electric Company Limited
KEERTI.NS,Keerti Knowledge and Skills Limited
KEI.NS,KEI Industries Limited
KELLTONTEC.NS,Kellton Tech Solutions Limited
KENNAMET.NS,Kennametal India Limited
KERNEX.NS,Kernex Microsystems (India) Limited
KESORAMIND.NS,Kesoram Industries Limited
KEYFINSERV.NS,Keynote Financial Services Limited
KGL.NS,Karuturi Global Limited
KHADIM.NS,Khadim India Limited
KHAICHEM.NS,
KHAITANLTD.NS,Khaitan (India) Limited
KHANDSE.NS,Khandwala Securities Limited
KICL.NS,Kalyani Investment Company Limited
KILITCH.NS,Kilitch Drugs (India) Limited
KIMS.NS,Krishna Institute of Medical Sciences Limited
KINGFA.NS,Kingfa Science & Technology (India) Limited
KIOCL.NS,KIOCL Limited
KIRIINDUS.NS,Kiri Industries Limited
KIRLFER.NS,Kirloskar Ferrous Industries Limited
KIRLOSBROS.NS,Kirloskar Brothers Limited
KIRLOSENG.NS,Kirloskar Oil Engines Limited
KIRLOSIND.NS,Kirloskar Industries Limited
KITEX.NS,Kitex Garments Limited
KKCL.NS,Kewal Kiran Clothing Limited
KMSUGAR.NS,K.M. Sugar Mills Limited
KNRCON.NS,KNR Constructions Limited
KOHINOOR.NS,Kohinoor Foods Limited
KOKUYOCMLN.NS,Kokuyo Camlin Limited
KOLTEPATIL.NS,Kolte-Patil Developers Limited
KOPRAN.NS,Kopran Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
KOTAKIT.NS,Kotak Mahindra Mutual Fund - Kotak IT Etf
KOTAKNV20.NS,Kotak Mahindra Mutual Fund - Kotak NV 20 ETF
KOTAKPSUBK.NS,Kotak Mahindra Mutual Fund - Kotak PSU Bank ETF
KOTARISUG.NS,Kothari Sugars and Chemicals Limited
KOTHARIPET.NS,Kothari Petrochemicals Limited
KOTHARIPRO.NS,Kothari Products Limited
KOVAI.NS,Kovai Medical Center and Hospital Limited
KPIGLOBAL.NS,K.P.I. Global Infrastructure Limited
KPITTECH.NS,KPIT Technologies Limited
KPRMILL.NS,K.P.R. Mill Limited
KRBL.NS,KRBL Limited
KREBSBIO.NS,Krebs Biochemicals & Industries Limited
KRIDHANINF.NS,Kridhan Infra Limited
KRISHANA.NS,Krishana Phoschem Limited
KRSNAA.NS,Krsnaa Diagnostics Limited
KSB.NS,KSB Limited
KSCL.NS,Kaveri Seed Company Limited
KSERASERA.NS,KSS Limited
KSL.NS,Kalyani Steels Limited
KTKBANK.NS,The Karnataka Bank Limited
KUANTUM.NS,Kuantum Papers Limited
L&TFH.NS,L&T Finance Holdings Limited
LAKPRE.NS,Lakshmi Precision Screws Limited
LALPATHLAB.NS,Dr. Lal PathLabs Limited
LAMBODHARA.NS,Lambodhara Textiles Limited
LAOPALA.NS,La Opala RG Limited
LASA.NS,Lasa Supergenerics Limited
LAURUSLABS.NS,Laurus Labs Limited
LAXMIMACH.NS,Lakshmi Machine Works Limited
LCCINFOTEC.NS,LCC Infotech Limited
LEMONTREE.NS,Lemon Tree Hotels Limited
LFIC.NS,Lakshmi Finance & Industrial Corporation Limited
LGBBROSLTD.NS,L.G. Balakrishnan & Bros Limited
LGBFORGE.NS,LGB Forge Limited
LIBAS.NS,Libas Consumer Products Limited
LIBERTSHOE.NS,Liberty Shoes Ltd.
LICHSGFIN.NS,LIC Housing Finance Limited
LICNFNHGP.NS,LIC Mutual Fund - LIC MF Exchange Traded Fund - NIFTY 100
LIKHITHA.NS,Likhitha Infrastructure Limited
LINCOLN.NS,Lincoln Pharmaceuticals Limited
LINCPEN.NS,Linc Limited
LINDEINDIA.NS,Linde India Limited
LODHA.NS,Macrotech Developers Limited
LOKESHMACH.NS,Lokesh Machines Limited
LOTUSEYE.NS,Lotus Eye Hospital and Institute Limited
LOVABLE.NS,Lovable Lingerie Limited
LPDC.NS,Landmark Property Development Company Limited
LSIL.NS,Lloyds Steels Industries Limited
LT.NS,Larsen & Toubro Limited
LTI.NS,Larsen & Toubro Infotech Limited
LTTS.NS,L&T Technology Services Limited
LUMAXIND.NS,Lumax Industries Limited
LUMAXTECH.NS,Lumax Auto Technologies Limited
LUPIN.NS,Lupin Limited
LUXIND.NS,Lux Industries Limited
LXCHEM.NS,Laxmi Organic Industries Limited
LYKALABS.NS,Lyka Labs Limited
LYPSAGEMS.NS,Lypsa Gems & Jewellery Limited
M&M.NS,Mahindra & Mahindra Limited
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited
MAANALU.NS,Maan Aluminium Limited
MACPOWER.NS,Macpower CNC Machines Limited
MADHAV.NS,Madhav Marbles and Granites Limited
MADHUCON.NS,Madhucon Projects Limited
MADRASFERT.NS,Madras Fertilizers Limited
MAFANG.NS,Mirae Asset Global Invest (I) Pvt. Ltd. - Mirae Asset MF - Mirae Asset Nyse Fang Plus ETF
MAGADSUGAR.NS,Magadh Sugar & Energy Limited
MAGMA.NS,Poonawalla Fincorp Limited
MAGNUM.NS,Magnum Ventures Limited
MAHABANK.NS,Bank of Maharashtra
MAHAPEXLTD.NS,Maha Rashtra Apex Corporation Limited
MAHASTEEL.NS,Mahamaya Steel Industries Limited
MAHEPC.NS,Mahindra EPC Irrigation Limited
MAHESHWARI.NS,Maheshwari Logistics Limited
MAHINDCIE.NS,Mahindra CIE Automotive Limited
MAHLIFE.NS,Mahindra Lifespace Developers Limited
MAHLOG.NS,Mahindra Logistics Limited
MAHSCOOTER.NS,Maharashtra Scooters Ltd.
MAHSEAMLES.NS,Maharashtra Seamless Limited
MAITHANALL.NS,Maithan Alloys Limited
MAJESCO.NS,Majesco Limited
MALUPAPER.NS,Malu Paper Mills Limited
MANAKALUCO.NS,Manaksia Aluminium Company Limited
MANAKCOAT.NS,Manaksia Coated Metals & Industries Limited
MANAKSIA.NS,Manaksia Limited
MANAKSTEEL.NS,Manaksia Steels Limited
MANALIPETC.NS,Manali Petrochemicals Limited
MANAPPURAM.NS,Manappuram Finance Limited
MANGALAM.NS,Mangalam Drugs & Organics Limited
MANGCHEFER.NS,Mangalore Chemicals & Fertilizers Limited
MANGLMCEM.NS,Mangalam Cement Limited
MANGTIMBER.NS,Mangalam Timber Products Limited
MANINDS.NS,Man Industries (India) Limited
MANINFRA.NS,Man Infraconstruction Limited
MANUGRAPH.NS,Manugraph India Limited
MANXT50.NS,Mirae Asset Global Investments India Pvt Ltd - Mirae Asset Mutual Fund - Mirae Asset NIFTY Next 50
MARALOVER.NS,Maral Overseas Limited
MARATHON.NS,Marathon Nextgen Realty Limited
MARICO.NS,Marico Limited
MARINE.NS,Marine Electricals (India) Limited
MARKSANS.NS,Marksans Pharma Limited
MARUTI.NS,Maruti Suzuki India Limited
MASFIN.NS,MAS Financial Services Limited
MASKINVEST.NS,Mask Investments Limited
MASPTOP50.NS,
MASTEK.NS,Mastek Limited
MATRIMONY.NS,Matrimony.com Limited
MAWANASUG.NS,Mawana Sugars Limited
MAXHEALTH.NS,Max Healthcare Institute Limited
MAXIND.NS,Max India Limited
MAXVIL.NS,Max Ventures and Industries Limited
MAYURUNIQ.NS,Mayur Uniquoters Limited
MAZDA.NS,Mazda Limited
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited
MBAPL.NS,Madhya Bharat Agro Products Limited
MBECL.NS,McNally Bharat Engineering Company Limited
MBLINFRA.NS,MBL Infrastructures Limited
MCDHOLDING.NS,McDowell Holdings Limited
MCDOWELL-N.NS,United Spirits Limited
MCL.NS,Madhav Copper Limited
MCLEODRUSS.NS,McLeod Russel India Limited
MCX.NS,Multi Commodity Exchange of India Limited
MEDPLUS.NS,MedPlus Health Services Limited
MEGASOFT.NS,Megasoft Limited
MEGH.NS,Meghmani Organics Limited
MELSTAR.NS,Melstar Information Technologies Limited
MENONBE.NS,Menon Bearings Limited
MEP.NS,MEP Infrastructure Developers Limited
MERCATOR.NS,Mercator Limited
METALFORGE.NS,Metalyst Forgings Limited
METROPOLIS.NS,Metropolis Healthcare Limited
MFL.NS,Meghmani Finechem Limited
MFSL.NS,Max Financial Services Limited
MGEL.NS,Mangalam Global Enterprise Limited
MGL.NS,Mahanagar Gas Limited
MHRIL.NS,Mahindra Holidays & Resorts India Ltd
MIC.NS,MIC Electronics Limited
MIDHANI.NS,Mishra Dhatu Nigam Limited
MINDACORP.NS,Minda Corporation Limited
MINDAIND.NS,Minda Industries Limited
MINDSPACE.NS,
MINDTECK.NS,Mindteck (India) Limited
MINDTREE.NS,Mindtree Limited
MIRCELECTR.NS,MIRC Electronics Limited
MIRZAINT.NS,Mirza International Limited
MITTAL.NS,Mittal Life Style Limited
MMFL.NS,M M Forgings Limited
MMP.NS,MMP Industries Limited
MMTC.NS,MMTC Limited
MODIRUBBER.NS,Modi Rubber Limited
MODISNME.NS,Modison Metals Limited
MOGSEC.NS,Motilal Oswal Amc Ltd. - Motilal Oswal Mutual Fund - Motilal Oswal 5 Year G-Sec ETF
MOHITIND.NS,Mohit Industries Limited
MOHOTAIND.NS,Mohota Industries Limited
MOIL.NS,MOIL Limited
MOKSH.NS,Moksh Ornaments Limited
MOL.NS,Meghmani Organics Limited
MOLDTECH.NS,Mold-Tek Technologies Limited
MOLDTKPAC.NS,Mold-Tek Packaging Limited
MOM100.NS,Motilal Oswal Midcap 100 ETF
MOM50.NS,Motilal Oswal M50 ETF
MON100.NS,Motilal Oswal NASDAQ 100 ETF
MONTECARLO.NS,Monte Carlo Fashions Limited
MORARJEE.NS,Morarjee Textiles Limited
MOREPENLAB.NS,Morepen Laboratories Limited
MOTHERSUMI.NS,Motherson Sumi Systems Limited
MOTILALOFS.NS,Motilal Oswal Financial Services Limited
MOTOGENFIN.NS,The Motor & General Finance Limited
MPHASIS.NS,Mphasis Limited
MPSLTD.NS,MPS Limited
MRF.NS,MRF Limited
MRO-TEK.NS,MRO-TEK Realty Limited
MRPL.NS,Mangalore Refinery and Petrochemicals Limited
MSPL.NS,MSP Steel & Power Limited
MSTCLTD.NS,MSTC Limited
MTARTECH.NS,MTAR Technologies Limited
MTEDUCARE.NS,MT Educare Limited
MTNL.NS,Mahanagar Telephone Nigam Limited
MUKANDENGG.NS,Mukand Engineers Limited
MUKANDLTD.NS,Mukand Limited
MUKTAARTS.NS,Mukta Arts Limited
MUNJALAU.NS,Munjal Auto Industries Limited
MUNJALSHOW.NS,Munjal Showa Limited
MURUDCERA.NS,Murudeshwar Ceramics Ltd.
MUTHOOTCAP.NS,Muthoot Capital Services Limited
MUTHOOTFIN.NS,Muthoot Finance Limited
NACLIND.NS,NACL Industries Limited
NAGAFERT.NS,Nagarjuna Fertilizers and Chemicals Limited
NAGREEKCAP.NS,Nagreeka Capital & Infrastructure Ltd.
NAGREEKEXP.NS,Nagreeka Exports Limited
NAHARCAP.NS,Nahar Capital and Financial Services Limited
NAHARINDUS.NS,Nahar Industrial Enterprises Limited
NAHARPOLY.NS,Nahar Poly Films Limited
NAHARSPING.NS,Nahar Spinning Mills Limited
NAM-INDIA.NS,Nippon Life India Asset Management Limited
NATCOPHARM.NS,NATCO Pharma Limited
NATHBIOGEN.NS,Nath Bio-Genes (India) Limited
NATIONALUM.NS,National Aluminium Company Limited
NATNLSTEEL.NS,National Steel and Agro Industries Limited
NAUKRI.NS,Info Edge (India) Limited
NAVINFLUOR.NS,Navin Fluorine International Limited
NAVKARCORP.NS,Navkar Corporation Limited
NAVNETEDUL.NS,Navneet Education Limited
NAZARA.NS,Nazara Technologies Limited
NBCC.NS,NBCC (India) Limited
NBIFIN.NS,N.B.I. Industrial Finance Company Limited
NBVENTURES.NS,Nava Bharat Ventures Limited
NCC.NS,NCC Limited
NCLIND.NS,NCL Industries Limited
NCPSESDL24.NS,Nippon Life India Am Ltd. - Nippon India Mf-Nippon India Etf Nifty Cpse Bond Plus Sdl-2024 Maturity
NDGL.NS,Naga Dhunseri Group Limited
NDL.NS,Nandan Denim Limited
NDRAUTO.NS,NDR Auto Components Limited
NDTV.NS,New Delhi Television Limited
NECCLTD.NS,North Eastern Carrying Corporation Limited
NECLIFE.NS,Nectar Lifesciences Limited
NELCAST.NS,Nelcast Limited
NELCO.NS,Nelco Limited
NEOGEN.NS,Neogen Chemicals Limited
NESCO.NS,Nesco Limited
NESTLEIND.NS,Nestl?� India Limited
NETWORK18.NS,Network18 Media & Investments Limited
NEULANDLAB.NS,Neuland Laboratories Limited
NEWGEN.NS,Newgen Software Technologies Limited
NEXTMEDIA.NS,Next Mediaworks Limited
NFL.NS,National Fertilizers Limited
NGIL.NS,Nakoda Group of Industries Limited
NH.NS,Narayana Hrudayalaya Limited
NHPC.NS,NHPC Limited
NIACL.NS,The New India Assurance Company Limited
NIBL.NS,NRB Industrial Bearings Limited
NIITLTD.NS,NIIT Limited
NILAINFRA.NS,Nila Infrastructures Limited
NILASPACES.NS,Nila Spaces Limited
NILKAMAL.NS,Nilkamal Limited
NIPPOBATRY.NS,Indo National Limited
NIRAJ.NS,Niraj Cement Structurals Limited
NITCO.NS,NITCO Limited
NITINFIRE.NS,Nitin Fire Protection Industries Limited
NITINSPIN.NS,Nitin Spinners Limited
NITIRAJ.NS,Nitiraj Engineers Limited
NKIND.NS,N.K Industries Limited
NLCINDIA.NS,NLC India Limited
NMDC.NS,NMDC Limited
NOCIL.NS,NOCIL Limited
NOIDATOLL.NS,Noida Toll Bridge Company Limited
NORBTEAEXP.NS,Norben Tea & Exports Limited
NOVARTIND.NS,Novartis India Limited
